Cycle,Healthy,Mild Disease,Progressive ,Dead (Disease),Dead (Background),Cycle_LE,Cycle_$,Cycle_QALE,Cum_LE,Cum_$,Cum_QALE,Cycle_Dis_LE,Cycle_Dis_$,Cycle_Dis_QALE,Cum_Dis_LE,Cum_Dis_$,Cum_Dis_QALE,p_death_oc,p_mild,p_progression
71,0.5438,0.1578,0.0206,0.0482,0.2296,0.7222,368.3622,0.7116,66.619,9997.1323,66.3019,0.7222,43.8525,0.0847,66.619,2163.9797,27.675,0.02516311,0.01,0.02
72,0.5247,0.1561,0.0207,0.0507,0.2477,0.7015,366.0128,0.691,67.3206,10363.1451,66.9929,0.7015,42.3038,0.0799,67.3206,2206.2835,27.7548,0.028012854,0.01,0.02
73,0.5048,0.1538,0.0208,0.0532,0.2674,0.6794,362.1754,0.669,68.0,10725.3205,67.6619,0.6794,40.641,0.0751,68.0,2246.9245,27.8299,0.031173083,0.01,0.02
74,0.484,0.151,0.0207,0.0557,0.2886,0.6557,356.8137,0.6455,68.6557,11082.1342,68.3074,0.6557,38.8731,0.0703,68.6557,2285.7976,27.9002,0.034673635,0.01,0.02
75,0.4624,0.1476,0.0205,0.0582,0.3113,0.6305,349.8995,0.6205,69.2862,11432.0337,68.9279,0.6305,37.0096,0.0656,69.2862,2322.8072,27.9659,0.038546325,0.01,0.02
76,0.4399,0.1436,0.0202,0.0606,0.3356,0.6037,341.4155,0.5939,69.8899,11773.4492,69.5218,0.6037,35.0604,0.061,69.8899,2357.8676,28.0268,0.042824856,0.01,0.02
77,0.4167,0.139,0.0198,0.0631,0.3615,0.5754,331.3592,0.5659,70.4654,12104.8084,70.0877,0.5754,33.0366,0.0564,70.4654,2390.9042,28.0833,0.047544664,0.01,0.02
78,0.3927,0.1337,0.0193,0.0655,0.3888,0.5457,319.7475,0.5365,71.0111,12424.5559,70.6242,0.5457,30.9504,0.0519,71.0111,2421.8546,28.1352,0.052742677,0.01,0.02
79,0.3681,0.1279,0.0186,0.0678,0.4176,0.5146,306.6203,0.5058,71.5257,12731.1762,71.13,0.5146,28.8153,0.0475,71.5257,2450.6699,28.1827,0.058456983,0.01,0.02
80,0.3429,0.1216,0.0179,0.07,0.4477,0.4823,292.0452,0.4739,72.008,13023.2214,71.6039,0.4823,26.6462,0.0432,72.008,2477.3161,28.226,0.064726382,0.01,0.02
