Cycle,Healthy,Mild Disease,Progressive ,Dead (Disease),Dead (Background),Cycle_LE,Cycle_$,Cycle_QALE,Cum_LE,Cum_$,Cum_QALE,Cycle_Dis_LE,Cycle_Dis_$,Cycle_Dis_QALE,Cum_Dis_LE,Cum_Dis_$,Cum_Dis_QALE,p_death_oc,p_mild,p_progression
30,0.9173,0.0469,0.0011,0.0011,0.0336,0.9654,82.0421,0.9628,29.9221,959.1631,29.8928,0.9654,32.8158,0.3851,29.9221,502.0836,19.1643,0.001388064,0.003,0.006
31,0.9133,0.0494,0.0012,0.0012,0.0349,0.9638,86.4355,0.9612,30.886,1045.5986,30.854,0.9638,33.5661,0.3733,30.886,535.6497,19.5376,0.001387311,0.003,0.006
32,0.9093,0.0518,0.0013,0.0014,0.0362,0.9623,90.7803,0.9595,31.8483,1136.3789,31.8136,0.9623,34.2266,0.3618,31.8483,569.8762,19.8993,0.001387283,0.003,0.006
33,0.9053,0.0541,0.0014,0.0016,0.0376,0.9608,95.0765,0.9579,32.8091,1231.4554,32.7714,0.9608,34.8023,0.3506,32.8091,604.6785,20.25,0.001389117,0.003,0.006
34,0.9013,0.0565,0.0014,0.0018,0.0389,0.9593,99.324,0.9562,33.7684,1330.7794,33.7277,0.9593,35.2981,0.3398,33.7684,639.9766,20.5898,0.001393928,0.003,0.006
35,0.8974,0.0588,0.0015,0.002,0.0403,0.9577,103.5225,0.9545,34.7261,1434.302,34.6822,0.9577,35.7186,0.3293,34.7261,675.6953,20.9191,0.001402807,0.005,0.01
36,0.8916,0.0627,0.0018,0.0023,0.0416,0.9561,111.1836,0.9527,35.6823,1545.4855,35.6349,0.9561,37.2446,0.3191,35.6823,712.9398,21.2383,0.001416843,0.005,0.01
37,0.8859,0.0665,0.0021,0.0025,0.043,0.9545,118.6855,0.9509,36.6368,1664.171,36.5858,0.9545,38.5996,0.3092,36.6368,751.5395,21.5475,0.001437124,0.005,0.01
38,0.8802,0.0702,0.0024,0.0028,0.0443,0.9528,126.0327,0.9489,37.5896,1790.2037,37.5347,0.9528,39.7953,0.2996,37.5896,791.3348,21.8471,0.001464758,0.005,0.01
39,0.8745,0.0739,0.0027,0.0032,0.0457,0.9511,133.2288,0.947,38.5407,1923.4325,38.4817,0.9511,40.8422,0.2903,38.5407,832.1769,22.1374,0.001500886,0.005,0.01
40,0.8688,0.0775,0.0029,0.0036,0.0471,0.9492,140.2763,0.9449,39.4899,2063.7088,39.4266,0.9492,41.7502,0.2812,39.4899,873.9271,22.4187,0.001546697,0.005,0.01
41,0.8632,0.081,0.0032,0.004,0.0486,0.9473,147.1771,0.9428,40.4373,2210.8859,40.3694,0.9473,42.5282,0.2724,40.4373,916.4553,22.6911,0.001603446,0.005,0.01
42,0.8575,0.0845,0.0034,0.0045,0.0501,0.9453,153.9323,0.9406,41.3826,2364.8183,41.31,0.9453,43.1846,0.2639,41.3826,959.6399,22.955,0.001672475,0.005,0.01
43,0.8517,0.0879,0.0037,0.005,0.0517,0.9433,160.5422,0.9383,42.3259,2525.3605,42.2483,0.9433,43.7272,0.2556,42.3259,1003.3671,23.2105,0.001755229,0.005,0.01
44,0.846,0.0912,0.0039,0.0056,0.0534,0.941,167.0062,0.9359,43.2669,2692.3667,43.1841,0.941,44.1629,0.2475,43.2669,1047.53,23.458,0.001853278,0.005,0.01
45,0.8402,0.0944,0.0041,0.0062,0.0551,0.9387,173.3232,0.9333,44.2056,2865.6899,44.1175,0.9387,44.4984,0.2396,44.2056,1092.0284,23.6976,0.001968341,0.008,0.016
46,0.8318,0.0996,0.0049,0.0068,0.057,0.9363,184.9753,0.9305,45.1419,3050.6652,45.048,0.9363,46.1067,0.2319,45.1419,1138.1351,23.9296,0.00210231,0.008,0.016
47,0.8234,0.1046,0.0056,0.0075,0.0589,0.9336,196.1962,0.9274,46.0754,3246.8614,45.9754,0.9336,47.4793,0.2244,46.0754,1185.6143,24.154,0.002257271,0.008,0.016
48,0.815,0.1094,0.0062,0.0083,0.061,0.9306,206.997,0.9242,47.006,3453.8584,46.8996,0.9306,48.634,0.2171,47.006,1234.2483,24.3712,0.002435541,0.008,0.016
49,0.8064,0.1141,0.0068,0.0093,0.0633,0.9274,217.3853,0.9206,47.9335,3671.2437,47.8202,0.9274,49.5871,0.21,47.9335,1283.8355,24.5812,0.002639688,0.008,0.016
50,0.7979,0.1186,0.0074,0.0103,0.0658,0.9239,227.3661,0.9168,48.8574,3898.6098,48.737,0.9239,50.3532,0.203,48.8574,1334.1887,24.7842,0.002872572,0.008,0.016
51,0.7892,0.123,0.008,0.0114,0.0684,0.9202,236.9415,0.9128,49.7776,4135.5513,49.6498,0.9202,50.9455,0.1963,49.7776,1385.1341,24.9805,0.003137377,0.008,0.016
